玩家pid,玩家等级,累计充值rmb,评分,情感分类,Source,评论内容
1165490328,54,1071.3,10,中立,论坛讨论,你们这破保底，早晚逼得我不想氪了
1338465777,15,0.0,10,中立,论坛讨论,春节会有新的198自选吗
1537013501,45,10176.8,10,满意,玩家评论,有个小建议，就是你们会不会考虑以版本更新或新内容推迟的契机，搞个活动领取礼包码
1774407998,51,0.0,10,不满意,论坛讨论,65神兵扫荡连着七八天三金什么意思
1314499164,39,2341.1,10,不满意,大R反馈,这游戏啥时候来个大版本更新啊，现在内容好少
1764585877,53,0.0,10,不满意,小R反馈,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1308248887,38,2106.6,10,满意,大R反馈,就一个意见，不要实时pvp
1670573656,24,2600.4,10,中立,小R反馈,你们这破保底，早晚逼得我不想氪了
1102241987,9,0.0,10,满意,论坛讨论,今天阿列克谢
1510136011,9,0.0,10,满意,大R反馈,实在不理解，12单，近8000块，就抽到4个要的
1573464849,48,4359.1,10,不满意,小R反馈,65神兵扫荡连着七八天三金什么意思
1257937061,44,2478.8,10,满意,玩家评论,就一个意见，不要实时pvp
1958177521,38,1554.8,10,满意,小R反馈,你们没考虑过60级装备的升级消耗和每天日常产出量吗？
1758945984,45,0.0,10,满意,大R反馈,这期抽卡也太坑人了
1542804848,31,363.6,10,中立,小R反馈,能不能增加一个每周经验礼包
1002547707,26,0.0,10,满意,玩家评论,话说，那些低级材料以后会有优化么
1393983375,30,0.0,10,满意,玩家评论,这期抽卡也太坑人了
1709998748,52,15039.6,10,中立,小R反馈,这期抽卡也太坑人了
1994069150,59,18347.8,10,满意,论坛讨论,还想要多点体力
1787827888,29,0.0,10,不满意,论坛讨论,能不能增加一个每周经验礼包
1701865877,32,504.4,10,满意,小R反馈,这概率是否有点过分了2:9
1653877730,47,2719.8,10,满意,小R反馈,就一个意见，不要实时pvp
1392078547,51,0.0,10,不满意,论坛讨论,目前我天赋等级刷高了之后，这些低级材料就没用了，能不能出个合成
1605731773,12,0.0,10,不满意,玩家评论,这概率是否有点过分了2:9
